epoch,train_loss,val_loss
1,0.7166162576745538,0.7124108164536388
2,0.6817623277717733,0.6821528125061953
3,0.6651206997467235,0.6692265580940128
4,0.6541816124622835,0.658588508566716
5,0.6462986917100488,0.6503811747281628
6,0.6385976519814149,0.6461044084327179
7,0.6360178739151215,0.6410745687020984
8,0.6329262493606557,0.6387470585301035
9,0.6279264030131426,0.6327142607690093
10,0.626531711603231,0.6292731135786322
11,0.6232680143041407,0.6256914052954339
12,0.6207452721296147,0.6229634197275538
13,0.6170258439798406,0.6229114197659076
14,0.6154438860993334,0.6218370471214713
15,0.6118102216465587,0.6153331086076703
16,0.6069004374152837,0.6130531759110472
17,0.5992689874640761,0.612369292134656
18,0.5989511573378415,0.6093190654257586
19,0.594171314778175,0.6130452624654532
20,0.5919742156796277,0.6041905662216748
21,0.589183027038281,0.6020403748512863
22,0.5868930418382992,0.5991423132265
23,0.5870444233882873,0.6059396639652086
24,0.5868074989972267,0.6039768529503126
25,0.582993283525189,0.6001666961168113
26,0.5824694915251298,0.5990426609863961
27,0.5823764732416301,0.6025001163643198
28,0.5794310092447913,0.6015297487712561
29,0.5784298417721203,0.5976625457591844
30,0.5789874143778959,0.5972711663888279
