epoch,train_loss,val_loss
1,0.7319479703106345,0.7451947749106961
2,0.710836048782828,0.7188394317157251
3,0.686091275154588,0.7002207948977216
4,0.674014540550543,0.6915990082254434
5,0.6675751239539468,0.6879493666260023
6,0.6607519352021702,0.6828270730680955
7,0.6568760757459039,0.6829440068277041
8,0.6550536375313519,0.6783902987726311
9,0.6516450666409125,0.6750396619413856
10,0.6508172886894349,0.6776443019769436
11,0.6469864246998241,0.6698063668467458
12,0.6444523789347174,0.672384475086098
13,0.641051588083971,0.6687391042114791
14,0.6401368186754339,0.662953532396112
15,0.6380449654265521,0.6649843958250602
16,0.6370773902551375,0.6603777085307828
17,0.6343451835573676,0.6587595744174615
18,0.6317695411928197,0.6575637087411714
19,0.6310562929527007,0.6556759761307305
20,0.6294322008595747,0.6585067855449686
21,0.6263155406809108,0.6582296670523665
22,0.6239497321971598,0.655061786460163
23,0.6237339783479823,0.6539530750373355
24,0.6213334895391516,0.6504198618957824
25,0.6198832842277333,0.6518952322571058
26,0.618858528137207,0.6513113842492092
27,0.6175572623065448,0.6517526838473251
28,0.6173429132304727,0.6485960682728641
29,0.6147898742700005,0.6479501201773522
30,0.6138646578565639,0.6510216557325568
