epoch,train_loss,val_loss
1,0.7174527614511909,0.7050883894846623
2,0.6774824159827462,0.6852061161376591
3,0.6609990494136504,0.6681919755632443
4,0.649934068832168,0.6574222924108815
5,0.6412368630821055,0.6466233806122568
6,0.6310182704485674,0.6410198534590348
7,0.625647342970027,0.6354843414112219
8,0.6194394586876751,0.6328970423883333
9,0.6172008707880337,0.6313494269984619
10,0.6111661904954655,0.6295556705491501
11,0.6101468132460182,0.6275119043868082
12,0.6091722398518241,0.6251491116466665
13,0.6069084367331337,0.6250995826022583
14,0.6037468246916399,0.6231927147084043
15,0.6027688213688804,0.6220945459500216
16,0.6010748719308465,0.6197557279519607
17,0.5978094840113491,0.6201647914704539
18,0.5989877482308423,0.6193551618485083
19,0.5961698784069581,0.6182347648310245
20,0.595908562878874,0.6158943484697555
21,0.5937740884362696,0.6171995394693646
22,0.5917602974303904,0.6159733583282057
23,0.590736798240858,0.6167598265662158
24,0.589304537377893,0.6144833341798283
25,0.5882437739620872,0.6129469501407366
26,0.5880050995292511,0.6135792216086328
27,0.5876540374150251,0.6149173952323242
28,0.586419768687238,0.6161802912739447
29,0.5830252934267177,0.6122692012950369
30,0.583755380488972,0.6144913988294745
