model,cell_type,n,mse,rmse,mae,pearson,spearman,r2
embedding,HepG2,8547,0.4820376016904983,0.6942892781042339,0.533062013640294,0.3410605785803049,0.3367867478424338,0.11328418602878676
embedding,K562,8547,0.47728062629803775,0.6908549965789043,0.5324123965248414,0.4333462942111001,0.3711303459580492,0.18647568418464278
embedding,WTC11,8547,0.8138325431309207,0.9021266779842622,0.6651098375878589,0.5225566827711956,0.4878325257776025,0.27102987911809906
