variant,mse,rmse,mae,pearson,spearman,r2
baseline,0.6320165809221846,0.7949947049648725,0.6072299595955298,0.4334626389441235,0.3701180623772775,0.1859199339829226
embedding,0.5910502570398188,0.7687979299138485,0.5768614159176649,0.4888648494172718,0.479965508072771,0.23868732752499078
attention,0.6474675780779974,0.8046537007172697,0.6079577954145193,0.4081007474428788,0.36184241621890323,0.1660180055140834
full,0.5952409500437832,0.771518599933782,0.5788259197846263,0.4858660942682345,0.4677582718478549,0.23328943174139172
