epoch,train_loss,val_loss
1,0.728983962519921,0.7396686494796353
2,0.7077796338554372,0.7219860574551057
3,0.6933036404178742,0.7084107106909193
4,0.6831076903776689,0.6981992181994374
5,0.6726573627581571,0.6891361195547623
6,0.6631082853372084,0.6834665835646917
7,0.6577843903857756,0.677389195435065
8,0.6514013545239036,0.6757361299527851
9,0.647033829405346,0.6701774548859964
10,0.6429263357810158,0.6688599962546047
11,0.6411069783138081,0.6667394123023882
12,0.6356805342403963,0.6663958159765401
13,0.6358948450834356,0.6636681854724884
14,0.6345202953898333,0.6685940655612589
15,0.6297621233737405,0.6635887414737235
16,0.6277013117776198,0.6610274849984414
17,0.6261466514618002,0.6627011774781338
18,0.622833274025968,0.6611110683242579
19,0.6215356599200855,0.6600314001192773
20,0.6219463970173489,0.6593348380187503
21,0.6188736869211503,0.6604165583477353
22,0.617795400297578,0.6584736871303168
23,0.6166296235380325,0.6580113628112765
24,0.6155911183930973,0.6549452130039434
25,0.6132023005243291,0.6554335662700291
26,0.6135234400550312,0.6560327029436307
27,0.6106668539066366,0.657528031868233
28,0.6116304016049533,0.6561169561899808
29,0.6099486562498113,0.6557280449498621
30,0.6104139480520697,0.6563894546537328
